question,answer
What is Prasad Khandat's role at Sikka?,Prasad is the Head of Engineering at Sikka.
What are Prasad Khandat's responsibilities at Sikka?,Prasad is responsible for Sikka's technical strategy and global oversight of all engineering development and operations teams.
When did Prasad Khandat join Sikka and in what role?,Prasad joined Sikka in 2014 as a Software Engineer.
Which product did Prasad Khandat lead while working at Sikka?,"Prasad led Sikka's flagship product ""Practice Optimizer""."
What is Prasad Khandat's experience in software engineering?,Prasad has extensive experience in software engineering and lifecycle.
Has Prasad Khandat won any awards at Sikka?,"Yes,  Prasad has won Sikka's internal hackathon competition for two consecutive years and has been awarded as the best performer for his excellent work at Sikka multiple times."
Where did Prasad Khandat work prior to joining Sikka?,"Prasad worked for four years at iBrain Decision Software,  India as Sr. Software Engineer."
What is Prasad Khandat's educational background?,"Prasad did his masters in computer science from the University of Pune,  Maharashtra, India"
What is scrutinized during the life insurance application process?,"An applicant's self-disclosed medical and smoking history is critically scrutinized during the life insurance application process for simplified, accelerated, and full underwriting."
What are some known practices and diseases that increase mortality risks?,"Hypertension, diabetes, kidney disorders, heart disorders, and tobacco use are known to increase mortality risks."
What is the purpose of ExamOne and Quest Diagnostics' commitment to delivering solutions?,"ExamOne and the entire Quest Diagnostics family are committed to working tirelessly to deliver solutions that will help them work through changes and challenges in the healthcare  life insurance, and retail markets.
"
What is Sikka?,Sikka is a platform that offers a way to evaluate opportunities for production growth and gauge ROI for certain investments at a quick glance using Optimizer. It also provides insights into 5 different healthcare verticals and has a growing international presence.
What is the collaboration between ExamOne and Sikka.ai?,"In April 2022, ExamOne and Sikka.ai announced a collaboration to provide oral healthcare information through HealthPiQture.
"
What is the Sikka Health Indicators whitepaper about?,The Sikka Health Indicators whitepaper is about the use of Sikka Health Indicators to identify health risks among insurance applicants.
What is the classic Dr. Copper comparison?,The classic Dr. Copper comparison compares copper prices to the inflation rate over the same time period.
What are the advantages of Sikka ONE API over its competitors?,"Sikka ONE API offers several key advantages over its competitors, including robust data analytics, customizable dashboards, and integrated payment processing, making it a more comprehensive and effective solution for healthcare providers."
Who does ExamOne work with to capture a more comprehensive review of applicants' prescription drug history?,ExamOne works with some of the largest pharmacy benefits management (PBM) companies in the country and has developed exclusive relationships with them to capture a more comprehensive review of applicants' prescription drug history.
What do the API Awards celebrate?,"The API Awards celebrate innovation, adoption and reception in the API & microservices industry and by the developer community.
"
What can you use Sikka's Fee Survey for?,"Sikka's Fee Survey lets you choose up to three zip codes for which you will receive 50th, 60th, 70th, 80th, 90th and maximum percentile fees across 900 different procedure codes."
What has validated Sikka's data?,"Sikka's data has been validated in studies conducted by 3 major reinsurance companies, 3 leading data providers  several carriers and MGAs in both the US and Canada, and a leading life settlement company."
What is the gross protective value of Sikka's Tobacco indicators?,Studies of Sikka's Tobacco indicators have been completed to identify gross protective value of almost 10x the cost.
What does Munich Re recommend each carrier perform regarding the Sikka Tobacco Score?,Munich Re recommends each carrier perform a retrospective study to best assess the value and application of the Sikka Tobacco Score on its company-specific insured population.
What is the goal of Sikka Insights?,The goal of Sikka Insights is to provide consent-based insights and services to life insurance underwriters and correlate oral health with mortality through multiple indicators.
What do the API Awards celebrate?,"The API Awards celebrate innovation, adoption and reception in the API & microservices industry and by the developer community.
"
What can you do to ensure maximum payment on procedures?,"When reviewing production reports from the previous year, you can visually look for any outliers and adjust accordingly to ensure maximum payment on procedures.
"
